gene	Adult_Hind_Gut	Adult_Mid_Gut	Adult_Accessory_gland	Adult_Brain	Adult_Crop	Larval_Wandering_fat_body	Adult_Head	Larvae_Wandering_Tubules	Adult_Ovary	Adult_Testes	Adult_Salivary_Gland	Adult_Carcass	Adult_Thoracoabdominal_ganglion	Larval_Feeding_Hind_Gut	Larval_Feeding_Mid_Gut	Larval_Feeding_Salivary_Gland	Adult_Female_Spermatheca_Mated	Adult_Female_Spermatheca_Virgin	Larval_Feeding_Malpighian_Tubule	Larval_Feeding_Fatbody	Larval_Feeding_Carcass	Larval_Feeding_Central_Nevous_System	Larval_Feeding_Trachea	Adult_Fatbody	Adult_Eye	Adult_Heart	Adult_Male_Ejaculatory_Duct	Adult_Trachea	Adult_Thoracic_Muscle	Adult_Wings
FBgn0038833	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0038834	11.77370461	12.07676412	12.14921643	12.00648835	11.74739359	11.77076064	11.92842061	11.55841639	12.19868155	10.17717981	12.13695732	11.95294881	11.87384657	11.85637503	11.62629884	12.39996404	10.72329724	10.65043883	11.72478889	12.07927996	11.84703729	11.99595955	12.42824435	12.209036	12.18411991	12.02817148	11.67622437	11.8981687	11.06450389	11.82350933
FBgn0038837	0.0001	0.0001	0.0001	8.505929518	0.0001	0.0001	4.144542192	0.0001	0.0001	0.0001	0.0001	0.0001	6.570713392	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	8.305527304	0.0001	0.0001	3.871934195	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0038838	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	4.419191555	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0038839	5.490686701	0.0001	0.0001	11.9839699	7.711952113	0.0001	9.19509295	0.0001	0.0001	0.0001	0.0001	0.0001	10.84866662	4.939052391	0.0001	8.681519265	0.0001	0.0001	0.0001	0.0001	0.0001	9.962736936	0.0001	0.0001	5.80073431	5.515555759	0.0001	0.0001	0.0001	0.0001
FBgn0038840	0.0001	0.0001	0.0001	4.74977523	3.700654852	0.0001	3.728590099	0.0001	0.0001	0.0001	0.0001	6.449698356	4.227506521	0.0001	0.0001	0.0001	0.0001	4.20170794	0.0001	0.0001	0.0001	2.434121015	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	4.325836262
FBgn0038842	9.216160891	7.091559841	0.0001	3.820290651	10.04216747	5.299911902	6.633845899	10.21660483	4.406773875	5.033167114	12.53246323	8.395077279	4.3410189	9.007430307	6.401644969	10.30408428	8.695038751	8.223785804	10.13571308	5.993207038	10.05097343	6.579586665	9.778868687	0.0001	5.540859933	7.419787145	7.778370358	7.498398039	9.108017518	8.321309353
FBgn0038845	8.906284311	11.32126459	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	6.352734613	12.25474899	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0038846	5.71060173	0.0001	0.0001	0.0001	0.0001	9.0563353	0.0001	9.262935877	0.0001	4.576355927	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	11.02465371	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	4.36661196	0.0001	0.0001
FBgn0038847	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
